Geographic Area,2020,2021,2022,2023,2024
".Fort Wayne, IN Metro Area","448,623","451,866","455,058","458,553",462978
".Fresno, CA Metro Area","1,166,047","1,171,898","1,177,521","1,183,301",1189557
".Gadsden, AL Metro Area","103,437","102,887","102,821","103,174",103207
".Gainesville, FL Metro Area","340,715","344,198","349,559","355,362",359780
".Gainesville, GA Metro Area","203,409","206,998","213,126","218,248",221745
".Gettysburg, PA Metro Area","103,802","105,696","106,017","107,147",107914
".Glens Falls, NY Metro Area","126,714","126,605","126,212","125,540",125127
".Goldsboro, NC Metro Area","117,772","117,395","118,185","119,570",120338
".Grand Forks, ND-MN Metro Area","104,213","103,240","102,863","103,636",104184
".Grand Island, NE Metro Area","76,922","76,276","76,522","76,968",77278
".Grand Junction, CO Metro Area","156,011","157,458","158,585","159,690",161260
".Grand Rapids-Wyoming-Kentwood, MI Metro Area","1,151,580","1,154,728","1,158,524","1,167,100",1178826
".Grants Pass, OR Metro Area","88,228","88,599","87,786","88,001",88276
".Great Falls, MT Metro Area","84,411","84,565","84,908","84,625",84523
".Greeley, CO Metro Area","331,467","339,942","350,610","360,216",369745
".Green Bay, WI Metro Area","328,606","328,970","330,902","332,548",334697
".Greensboro-High Point, NC Metro Area","774,382","778,420","785,413","793,159",800722
".Greenville, NC Metro Area","173,643","175,491","177,090","178,956",180783
".Greenville-Anderson-Greer, SC Metro Area","930,775","941,600","961,030","979,608",996680
".Gulfport-Biloxi, MS Metro Area","416,672","418,748","421,071","422,724",426793
".Hagerstown-Martinsburg, MD-WV Metro Area","294,463","298,615","302,325","306,547",311295
".Hammond, LA Metro Area","133,642","135,487","136,734","137,999",139823
".Hanford-Corcoran, CA Metro Area","152,797","152,724","152,776","153,281",154913
".Harrisburg-Carlisle, PA Metro Area","592,809","599,797","604,003","608,806",615361
".Harrisonburg, VA Metro Area","135,484","136,032","136,597","138,008",138838
".Hartford-West Hartford-East Hartford, CT Metro Area","1,137,369","1,147,394","1,151,750","1,160,000",1169048
".Hattiesburg, MS Metro Area","154,064","154,923","155,535","156,072",156575
".Helena, MT Metro Area","90,184","92,316","94,332","95,961",96735
".Hickory-Lenoir-Morganton, NC Metro Area","365,131","365,795","367,514","370,108",373031
".Hilton Head Island-Bluffton-Port Royal, SC Metro Area","216,977","222,380","227,920","232,603",237393
".Hinesville, GA Metro Area","81,603","83,876","86,440","87,886",89046
".Homosassa Springs, FL Metro Area","154,569","158,193","162,586","166,836",170174
".Hot Springs, AR Metro Area","100,266","100,306","99,942","99,759",99902
".Houma-Bayou Cane-Thibodaux, LA Metro Area","206,859","206,580","200,359","199,182",199206
".Houston-Pasadena-The Woodlands, TX Metro Area","7,169,728","7,246,956","7,403,068","7,598,011",7796182
".Huntington-Ashland, WV-KY-OH Metro Area","375,706","372,890","369,936","368,194",366920
".Huntsville, AL Metro Area","494,736","503,948","515,081","528,694",542297
".Idaho Falls, ID Metro Area","158,401","162,945","165,747","168,481",171233
".Indianapolis-Carmel-Greenwood, IN Metro Area","2,092,864","2,107,860","2,126,541","2,148,172",2174833
".Iowa City, IA Metro Area","175,593","177,573","179,356","180,756",182711
".Ithaca, NY Metro Area","99,778","105,974","105,827","105,505",105602
".Jackson, MI Metro Area","160,223","160,181","159,828","159,835",160233
".Jackson, MS Metro Area","618,883","612,538","609,791","609,217",606178
".Jackson, TN Metro Area","180,571","180,514","181,580","182,255",183680
".Jacksonville, FL Metro Area","1,613,045","1,641,662","1,681,346","1,723,198",1760548
".Jacksonville, NC Metro Area","205,111","203,563","206,718","211,184",212954
".Janesville-Beloit, WI Metro Area","163,761","164,128","163,959","164,443",165461
".Jefferson City, MO Metro Area","149,441","149,981","150,377","150,860",151523
".Johnson City, TN Metro Area","207,484","207,185","210,476","213,552",214948
".Johnstown, PA Metro Area","133,198","132,240","131,432","130,713",130108
".Jonesboro, AR Metro Area","134,578","134,346","135,262","136,618",138152
".Joplin, MO-KS Metro Area","200,896","201,957","203,119","205,025",207131
".Kahului-Wailuku, HI Metro Area","164,882","164,896","164,560","164,835",163769
".Kalamazoo-Portage, MI Metro Area","261,814","260,566","261,417","263,297",264780
".Kankakee, IL Metro Area","107,403","106,757","106,221","106,386",106410
".Kansas City, MO-KS Metro Area","2,195,288","2,203,618","2,209,457","2,228,762",2253579
".Kennewick-Richland, WA Metro Area","304,578","308,734","311,299","314,999",319428
".Kenosha, WI Metro Area","169,202","168,446","167,920","167,867",168754
".Killeen-Temple, TX Metro Area","477,233","487,238","494,841","503,004",509487
".Kingsport-Bristol, TN-VA Metro Area","307,757","308,740","311,033","312,802",313876
".Kingston, NY Metro Area","181,277","183,487","182,357","182,906",182977
".Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","696,910","704,030","704,863","706,651",711730
".Knoxville, TN Metro Area","906,083","916,613","933,626","947,279",957608
".Kokomo, IN Metro Area","83,587","83,653","83,574","83,857",84082
".La Crosse-Onalaska, WI-MN Metro Area","170,476","169,090","170,184","170,437",170763
".Lafayette, LA Metro Area","408,227","410,593","413,175","415,438",419704
".Lafayette-West Lafayette, IN Metro Area","223,854","225,078","227,077","228,311",229701
".Lake Charles, LA Metro Area","254,329","242,423","239,542","240,867",242975
".Lake Havasu City-Kingman, AZ Metro Area","214,173","217,186","220,947","223,801",226479
".Lakeland-Winter Haven, FL Metro Area","730,179","755,712","790,530","824,172",852878
".Lancaster, PA Metro Area","552,834","556,364","556,991","560,174",563293
".Lansing-East Lansing, MI Metro Area","473,377","460,015","473,375","476,605",479971
".Laredo, TX Metro Area","267,368","267,465","268,276","270,538",272823
".Las Cruces, NM Metro Area","220,069","221,756","223,604","226,534",229366
".Las Vegas-Henderson-North Las Vegas, NV Metro Area","2,275,970","2,296,651","2,321,961","2,354,285",2398871
".Lawrence, KS Metro Area","118,787","119,503","120,053","121,179",121989
".Lawton, OK Metro Area","126,681","127,769","127,863","127,338",126899
".Lebanon, PA Metro Area","143,292","143,772","144,003","144,546",145319
".Lewiston, ID-WA Metro Area","64,476","64,987","65,500","65,488",65370
".Lewiston-Auburn, ME Metro Area","111,178","112,733","113,454","114,477",115272
".Lexington-Fayette, KY Metro Area","517,420","516,646","519,557","525,814",533366
".Lexington Park, MD Metro Area","206,927","208,923","209,653","210,307",211382
".Lima, OH Metro Area","102,137","101,800","101,086","100,851",100866
".Lincoln, NE Metro Area","340,781","340,962","342,875","346,440",350626
".Little Rock-North Little Rock-Conway, AR Metro Area","749,020","751,803","758,380","764,683",769258
".Logan, UT-ID Metro Area","147,912","152,143","155,622","158,709",161125
".Longview, TX Metro Area","286,417","288,280","290,804","294,231",295490
".Longview-Kelso, WA Metro Area","111,021","111,701","112,058","113,040",113982
".Los Angeles-Long Beach-Anaheim, CA Metro Area","13,182,895","12,968,590","12,906,936","12,886,400",12927614
"..Anaheim-Santa Ana-Irvine, CA Metro Division","3,186,261","3,159,351","3,158,489","3,154,563",3170435
"..Los Angeles-Long Beach-Glendale, CA Metro Division","9,996,634","9,809,239","9,748,447","9,731,837",9757179
".Louisville/Jefferson County, KY-IN Metro Area","1,363,012","1,361,854","1,365,960","1,377,729",1394234
".Lubbock, TX Metro Area","352,164","355,410","357,390","361,721",367109
".Lynchburg, VA Metro Area","261,655","262,537","263,320","265,045",266432
".Macon-Bibb County, GA Metro Area","233,609","233,183","233,969","236,333",237617
".Madison, WI Metro Area","681,891","681,112","690,029","698,503",707606
".Manchester-Nashua, NH Metro Area","422,929","424,475","426,307","427,719",430462
".Manhattan, KS Metro Area","134,198","133,885","133,474","133,371",134892
".Mankato, MN Metro Area","103,694","103,743","104,062","104,716",105193
".Mansfield, OH Metro Area","124,988","125,382","125,268","125,003",124853
".McAllen-Edinburg-Mission, TX Metro Area","872,892","879,929","889,799","902,443",914820
".Medford, OR Metro Area","223,755","224,649","222,153","221,338",221331
".Memphis, TN-MS-AR Metro Area","1,346,224","1,342,425","1,341,175","1,340,448",1339345
".Merced, CA Metro Area","282,963","284,834","292,034","294,402",296774
".Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","6,133,502","6,109,257","6,211,194","6,334,517",6457988
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","1,943,497","1,935,655","1,966,237","2,002,786",2037472
"..Miami-Miami Beach-Kendall, FL Metro Division","2,695,729","2,669,925","2,713,415","2,774,250",2838461
"..West Palm Beach-Boca Raton-Delray Beach, FL Metro Division","1,494,276","1,503,677","1,531,542","1,557,481",1582055
".Michigan City-La Porte, IN Metro Area","112,287","112,552","111,810","111,586",111348
".Midland, MI Metro Area","83,493","83,504","83,761","84,007",84022
".Midland, TX Metro Area","175,986","173,853","177,931","183,557",188766
".Milwaukee-Waukesha, WI Metro Area","1,574,565","1,563,631","1,564,152","1,567,889",1574452
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,694,260","3,696,733","3,696,911","3,722,476",3757952
".Minot, ND Metro Area","77,520","76,761","76,306","75,896",75938
".Missoula, MT Metro Area","122,921","124,716","125,968","126,807",127741
".Mobile, AL Metro Area","414,409","413,164","411,291","411,745",412339
".Modesto, CA Metro Area","553,710","552,939","552,410","553,921",556972
".Monroe, LA Metro Area","226,704","224,783","222,766","222,197",221921
".Monroe, MI Metro Area","154,909","155,569","155,412","155,590",156045
".Montgomery, AL Metro Area","385,427","384,672","385,634","386,500",387885
".Morgantown, WV Metro Area","140,103","140,846","141,117","141,799",142752
".Morristown, TN Metro Area","119,459","119,911","122,002","124,363",126932
".Mount Vernon-Anacortes, WA Metro Area","129,901","131,018","131,229","131,754",132736
".Muncie, IN Metro Area","111,757","112,059","112,183","112,448",112951
".Muskegon-Norton Shores, MI Metro Area","174,794","175,581","175,526","176,476",177428
".Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","353,779","366,164","383,372","398,374",413391
".Napa, CA Metro Area","137,465","136,219","134,492","133,444",132727
".Naples-Marco Island, FL Metro Area","377,331","387,316","400,510","410,065",416233
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","2,021,825","2,033,685","2,077,922","2,113,986",2150553
".New Haven, CT Metro Area","564,526","568,961","569,866","572,919",576718
".New Orleans-Metairie, LA Metro Area","1,005,431","993,781","975,662","967,205",966230
".New York-Newark-Jersey City, NY-NJ Metro Area","19,991,108","19,714,596","19,619,844","19,726,871",19940274
"..Lakewood-New Brunswick, NJ Metro Division","2,487,580","2,505,596","2,515,940","2,533,600",2561540
"..Nassau County-Suffolk County, NY Metro Division","2,912,759","2,926,111","2,916,390","2,915,081",2928347
"..Newark, NJ Metro Division","2,214,884","2,213,469","2,216,638","2,241,055",2277892
"..New York-Jersey City-White Plains, NY-NJ Metro Division","12,375,885","12,069,420","11,970,876","12,037,135",12172495
".Niles, MI Metro Area","154,426","153,598","153,064","152,651",152703
".North Port-Bradenton-Sarasota, FL Metro Area","837,900","862,535","894,767","916,536",934956
".Norwich-New London-Willimantic, CT Metro Area","278,379","278,855","279,398","280,622",282602
".Ocala, FL Metro Area","377,464","385,024","396,661","412,338",428905
".Odessa, TX Metro Area","165,511","160,809","161,480","165,450",170022
".Ogden, UT Metro Area","639,155","646,810","653,107","660,120",667681
".Oklahoma City, OK Metro Area","1,430,032","1,444,078","1,462,926","1,481,480",1497821
".Olympia-Lacey-Tumwater, WA Metro Area","296,018","298,241","298,645","299,519",302912
".Omaha, NE-IA Metro Area","969,176","972,875","978,390","988,866",1001010
".Orlando-Kissimmee-Sanford, FL Metro Area","2,680,593","2,699,313","2,783,767","2,864,544",2940513
".Oshkosh-Neenah, WI Metro Area","171,796","170,590","171,049","172,105",173307
